Customer ID,Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_Segment,RFM_Score,Segment
12517,29,4,2322.84,4,3,4,434,11,Loyal/Valuable
12518,1,5,1840.89,5,4,4,544,13,Best Customers
12519,64,2,636.54,3,2,3,323,8,Regular
12520,80,5,2329.31,3,4,4,344,11,Loyal/Valuable
12521,143,1,545.68,3,1,2,312,6,Regular
12522,40,2,156.72,4,2,1,421,7,Regular
12523,20,23,3988.2,5,5,5,555,15,Best Customers
12524,10,17,9794.11,5,5,5,555,15,Best Customers
12525,499,3,883.73,1,3,3,133,7,Regular
12526,1,3,1172.66,5,3,3,533,11,Loyal/Valuable
12527,82,5,717.51,3,4,3,343,10,Loyal/Valuable
12528,10,6,1628.53,5,4,4,544,13,Best Customers
12529,529,1,316.48,1,1,2,112,4,At Risk / Lost
12530,60,9,3241.46,3,5,5,355,13,Best Customers
12531,15,2,1741.25,5,2,4,524,11,Loyal/Valuable
12532,31,1,313.83,4,1,2,412,7,Regular
12533,628,2,1223.89,1,2,4,124,7,Regular
12534,131,1,962.23,3,1,3,313,7,Regular
12535,92,2,716.35,3,2,3,323,8,Regular
12536,60,1,4095.26,3,1,5,315,9,Loyal/Valuable
12537,409,1,612.94,2,1,3,213,6,Regular
12538,30,2,640.45,4,2,3,423,9,Loyal/Valuable
12539,23,7,11068.1,4,4,5,445,13,Best Customers
12540,20,32,19084.94,5,5,5,555,15,Best Customers
12541,30,3,841.18,4,3,3,433,10,Loyal/Valuable
12542,485,2,481.88,1,2,2,122,5,At Risk / Lost
12543,449,1,840.25,1,1,3,113,5,At Risk / Lost
12544,37,1,316.7,4,1,2,412,7,Regular
12545,76,2,832.39,3,2,3,323,8,Regular
12546,47,2,1021.5,4,2,3,423,9,Loyal/Valuable
12547,198,3,299.58,2,3,2,232,7,Regular
12548,167,1,67.2,3,1,1,311,5,At Risk / Lost
12549,576,6,1575.68,1,4,4,144,9,Loyal/Valuable
12550,80,1,824.83,3,1,3,313,7,Regular
12551,358,1,168.0,2,1,1,211,4,At Risk / Lost
12552,40,1,317.82,4,1,2,412,7,Regular
12553,9,12,4044.85,5,5,5,555,15,Best Customers
12554,449,1,384.5,1,1,2,112,4,At Risk / Lost
12556,51,2,603.71,4,2,3,423,9,Loyal/Valuable
12557,17,8,18716.14,5,4,5,545,14,Best Customers
12558,8,1,269.96,5,1,1,511,7,Regular
12559,311,2,525.71,2,2,2,222,6,Regular
12560,6,2,1901.06,5,2,4,524,11,Loyal/Valuable
12561,303,1,238.85,2,1,1,211,4,At Risk / Lost
12562,9,9,4291.32,5,5,5,555,15,Best Customers
12563,409,1,221.24,2,1,1,211,4,At Risk / Lost
12564,262,1,352.05,2,1,2,212,5,At Risk / Lost
12565,289,1,145.92,2,1,1,211,4,At Risk / Lost
12566,87,1,297.65,3,1,2,312,6,Regular
12567,23,15,11767.16,4,5,5,455,14,Best Customers
12568,645,1,52.0,1,1,1,111,3,At Risk / Lost
12569,3,32,3152.69,5,5,5,555,15,Best Customers
12571,40,2,519.61,4,2,2,422,8,Regular
12572,9,2,878.52,5,2,3,523,10,Loyal/Valuable
12573,228,5,717.41,2,4,3,243,9,Loyal/Valuable
12574,316,1,182.45,2,1,1,211,4,At Risk / Lost
12575,458,2,568.82,1,2,2,122,5,At Risk / Lost
12576,36,8,2015.82,4,4,4,444,12,Best Customers
12577,36,8,1653.75,4,4,4,444,12,Best Customers
12578,22,4,4026.45,4,3,5,435,12,Best Customers
12579,79,1,386.42,3,1,2,312,6,Regular
12580,247,2,962.9,2,2,3,223,7,Regular
12581,40,1,179.71,4,1,1,411,6,Regular
12582,239,4,1820.4,2,3,4,234,9,Loyal/Valuable
12583,3,27,13244.59,5,5,5,555,15,Best Customers
12584,4,9,2033.8,5,5,4,554,14,Best Customers
12585,235,2,1792.2,2,2,4,224,8,Regular
12586,18,4,1995.87,5,3,4,534,12,Best Customers
12587,8,1,104.0,5,1,1,511,7,Regular
12588,40,3,718.78,4,3,3,433,10,Loyal/Valuable
12589,29,6,3280.96,4,4,5,445,13,Best Customers
12590,212,1,9341.26,2,1,5,215,8,Regular
12591,318,3,1111.2,2,3,3,233,8,Regular
12592,93,4,1723.64,3,3,4,334,10,Loyal/Valuable
12593,109,3,382.1,3,3,2,332,8,Regular
12594,38,14,4890.11,4,5,5,455,14,Best Customers
12595,505,1,281.02,1,1,1,111,3,At Risk / Lost
12596,52,2,450.27,4,2,2,422,8,Regular
12597,20,4,3127.72,5,3,5,535,13,Best Customers
12598,10,10,4192.09,5,5,5,555,15,Best Customers
12599,30,13,2026.72,4,5,4,454,13,Best Customers
12600,29,21,4449.92,4,5,5,455,14,Best Customers
12601,190,6,517.36,2,4,2,242,8,Regular
12602,59,1,153.12,4,1,1,411,6,Regular
12603,22,1,613.2,4,1,3,413,8,Regular
12604,80,2,236.18,3,2,1,321,6,Regular
12605,377,3,1126.95,2,3,3,233,8,Regular
12607,61,1,1562.56,3,1,4,314,8,Regular
12608,405,1,415.79,2,1,2,212,5,At Risk / Lost
12609,79,9,3021.86,3,5,5,355,13,Best Customers
12610,23,4,1679.74,4,3,4,434,11,Loyal/Valuable
12611,53,1,1193.32,4,1,3,413,8,Regular
12612,75,1,668.04,3,1,3,313,7,Regular
12613,58,9,6295.07,4,5,5,455,14,Best Customers
12614,278,1,315.6,2,1,2,212,5,At Risk / Lost
12615,3,8,5244.33,5,4,5,545,14,Best Customers
12616,96,3,1023.1,3,3,3,333,9,Loyal/Valuable
12617,30,1,355.53,4,1,2,412,7,Regular
12618,22,1,137.31,4,1,1,411,6,Regular
12619,17,9,3085.7,5,5,5,555,15,Best Customers
12620,15,3,1303.41,5,3,4,534,12,Best Customers
12621,2,35,22474.96,5,5,5,555,15,Best Customers
12622,233,1,162.1,2,1,1,211,4,At Risk / Lost
12623,277,7,3315.84,2,4,5,245,11,Loyal/Valuable
12624,107,2,569.13,3,2,2,322,7,Regular
12625,212,4,4611.08,2,3,5,235,10,Loyal/Valuable
12626,24,9,5954.48,4,5,5,455,14,Best Customers
12627,11,6,4065.58,5,4,5,545,14,Best Customers
12628,5,3,732.46,5,3,3,533,11,Loyal/Valuable
12629,386,2,1130.42,2,2,3,223,7,Regular
12630,10,2,1013.93,5,2,3,523,10,Loyal/Valuable
12631,58,6,3321.57,4,4,5,445,13,Best Customers
12632,521,2,714.88,1,2,3,123,6,Regular
12633,59,7,5126.21,4,4,5,445,13,Best Customers
12634,549,1,360.0,1,1,2,112,4,At Risk / Lost
12635,90,4,2624.41,3,3,4,334,10,Loyal/Valuable
12637,68,12,7992.56,3,5,5,355,13,Best Customers
12638,34,2,681.49,4,2,3,423,9,Loyal/Valuable
12639,239,3,1072.37,2,3,3,233,8,Regular
12640,24,3,960.68,4,3,3,433,10,Loyal/Valuable
12641,116,1,145.9,3,1,1,311,5,At Risk / Lost
12642,26,3,888.31,4,3,3,433,10,Loyal/Valuable
12643,129,11,7851.42,3,5,5,355,13,Best Customers
12644,130,4,1883.54,3,3,4,334,10,Loyal/Valuable
12645,34,8,3215.3,4,4,5,445,13,Best Customers
12646,5,2,1346.97,5,2,4,524,11,Loyal/Valuable
12647,23,35,14748.8,4,5,5,455,14,Best Customers
12648,155,4,1040.0,3,3,3,333,9,Loyal/Valuable
12649,108,8,2028.85,3,4,4,344,11,Loyal/Valuable
12650,4,1,242.44,5,1,1,511,7,Regular
12651,335,4,377.75,2,3,2,232,7,Regular
12652,332,2,891.03,2,2,3,223,7,Regular
12653,149,3,4160.83,3,3,5,335,11,Loyal/Valuable
12654,11,5,529.98,5,4,2,542,11,Loyal/Valuable
12655,424,1,243.35,1,1,1,111,3,At Risk / Lost
12656,18,8,5639.08,5,4,5,545,14,Best Customers
12657,12,4,1427.18,5,3,4,534,12,Best Customers
12658,19,1,632.05,5,1,3,513,9,Loyal/Valuable
12659,30,1,73.68,4,1,1,411,6,Regular
12660,12,1,227.1,5,1,1,511,7,Regular
12661,437,1,162.0,1,1,1,111,3,At Risk / Lost
12662,1,20,6316.12,5,5,5,555,15,Best Customers
12663,625,2,185.4,1,2,1,121,4,At Risk / Lost
12664,9,11,5420.04,5,5,5,555,15,Best Customers
12665,325,3,259.6,2,3,1,231,6,Regular
12666,395,1,1214.52,2,1,4,214,7,Regular
12667,59,1,460.13,4,1,2,412,7,Regular
12668,12,9,9967.68,5,5,5,555,15,Best Customers
12669,151,2,1410.78,3,2,4,324,9,Loyal/Valuable
12670,11,7,3436.29,5,4,5,545,14,Best Customers
12671,607,1,2622.48,1,1,4,114,6,Regular
12672,330,2,407.05,2,2,2,222,6,Regular
12673,6,3,1140.02,5,3,3,533,11,Loyal/Valuable
12674,39,4,1844.6,4,3,4,434,11,Loyal/Valuable
12675,554,2,842.6,1,2,3,123,6,Regular
12676,25,10,2333.09,4,5,4,454,13,Best Customers
12677,556,2,359.1,1,2,2,122,5,At Risk / Lost
12678,43,15,32595.18,4,5,5,455,14,Best Customers
12679,59,4,951.02,4,3,3,433,10,Loyal/Valuable
12680,1,4,790.81,5,3,3,533,11,Loyal/Valuable
12681,15,44,27866.38,5,5,5,555,15,Best Customers
12682,4,51,21693.91,5,5,5,555,15,Best Customers
12683,5,20,11405.78,5,5,5,555,15,Best Customers
12684,8,6,2073.63,5,4,4,544,13,Best Customers
12685,29,6,2575.08,4,4,4,444,12,Best Customers
12686,372,1,142.28,2,1,1,211,4,At Risk / Lost
12687,481,1,1858.91,1,1,4,114,6,Regular
12688,114,1,4565.91,3,1,5,315,9,Loyal/Valuable
12689,26,2,1139.61,4,2,3,423,9,Loyal/Valuable
12690,206,1,335.01,2,1,2,212,5,At Risk / Lost
12691,29,6,1044.4,4,4,3,443,11,Loyal/Valuable
12692,638,1,110.95,1,1,1,111,3,At Risk / Lost
12693,128,7,1415.02,3,4,4,344,11,Loyal/Valuable
12694,71,3,1663.35,3,3,4,334,10,Loyal/Valuable
12695,8,7,1325.17,5,4,4,544,13,Best Customers
12696,435,2,731.91,1,2,3,123,6,Regular
12697,29,3,757.59,4,3,3,433,10,Loyal/Valuable
12698,591,1,285.75,1,1,2,112,4,At Risk / Lost
12699,418,1,532.21,1,1,2,112,4,At Risk / Lost
12700,8,4,4525.99,5,3,5,535,13,Best Customers
12701,80,6,2214.51,3,4,4,344,11,Loyal/Valuable
12702,20,1,201.0,5,1,1,511,7,Regular
12703,72,4,898.53,3,3,3,333,9,Loyal/Valuable
12704,8,8,1715.89,5,4,4,544,13,Best Customers
12705,16,13,11097.15,5,5,5,555,15,Best Customers
12707,292,1,603.42,2,1,3,213,6,Regular
12708,30,18,4634.4,4,5,5,455,14,Best Customers
12709,16,32,29264.56,5,5,5,555,15,Best Customers
12710,97,3,1023.02,3,3,3,333,9,Loyal/Valuable
12711,612,2,1213.05,1,2,4,124,7,Regular
12712,29,21,6342.76,4,5,5,455,14,Best Customers
12713,1,1,794.55,5,1,3,513,9,Loyal/Valuable
12714,10,12,12815.71,5,5,5,555,15,Best Customers
12715,107,1,273.86,3,1,1,311,5,At Risk / Lost
12716,4,2,963.49,5,2,3,523,10,Loyal/Valuable
12717,152,3,1018.96,3,3,3,333,9,Loyal/Valuable
12718,72,1,202.25,3,1,1,311,5,At Risk / Lost
12719,6,2,572.95,5,2,2,522,9,Loyal/Valuable
12720,3,29,7306.67,5,5,5,555,15,Best Customers
12721,32,8,3552.33,4,4,5,445,13,Best Customers
12722,86,4,911.83,3,3,3,333,9,Loyal/Valuable
12723,4,4,622.32,5,3,3,533,11,Loyal/Valuable
12724,6,7,2083.52,5,4,4,544,13,Best Customers
12725,372,3,2278.56,2,3,4,234,9,Loyal/Valuable
12726,29,11,3690.6,4,5,5,455,14,Best Customers
12727,11,10,4905.53,5,5,5,555,15,Best Customers
12728,72,5,926.17,3,4,3,343,10,Loyal/Valuable
12729,114,1,417.01,3,1,2,312,6,Regular
12730,522,1,684.3,1,1,3,113,5,At Risk / Lost
12731,24,17,25631.71,4,5,5,455,14,Best Customers
12732,180,1,218.26,3,1,1,311,5,At Risk / Lost
12733,235,4,2424.87,2,3,4,234,9,Loyal/Valuable
12734,353,3,603.65,2,3,3,233,8,Regular
12735,316,2,673.62,2,2,3,223,7,Regular
12736,333,1,144.0,2,1,1,211,4,At Risk / Lost
12738,373,1,274.7,2,1,1,211,4,At Risk / Lost
12739,100,2,2201.48,3,2,4,324,9,Loyal/Valuable
12740,64,1,427.6,3,1,2,312,6,Regular
12741,534,1,236.07,1,1,1,111,3,At Risk / Lost
12742,626,1,1201.52,1,1,3,113,5,At Risk / Lost
12743,135,2,529.48,3,2,2,322,7,Regular
12744,57,8,12809.26,4,4,5,445,13,Best Customers
12745,487,2,723.85,1,2,3,123,6,Regular
12746,541,1,254.55,1,1,1,111,3,At Risk / Lost
12747,3,26,8746.09,5,5,5,555,15,Best Customers
12748,1,320,51344.87,5,5,5,555,15,Best Customers
12749,4,9,6543.16,5,5,5,555,15,Best Customers
12750,129,1,275.88,3,1,1,311,5,At Risk / Lost
12751,445,1,268.27,1,1,1,111,3,At Risk / Lost
12752,82,1,4366.78,3,1,5,315,9,Loyal/Valuable
12753,23,6,21429.39,4,4,5,445,13,Best Customers
12754,236,3,3010.74,2,3,5,235,10,Loyal/Valuable
12755,281,11,9030.66,2,5,5,255,12,Best Customers
12756,87,1,112.08,3,1,1,311,5,At Risk / Lost
12757,16,8,4022.0,5,4,5,545,14,Best Customers
12758,117,7,9903.24,3,4,5,345,12,Best Customers
12759,53,8,4534.99,4,4,5,445,13,Best Customers
12760,456,1,317.8,1,1,2,112,4,At Risk / Lost
12761,465,1,712.95,1,1,3,113,5,At Risk / Lost
12762,8,2,1702.52,5,2,4,524,11,Loyal/Valuable
12763,139,2,814.16,3,2,3,323,8,Regular
12764,317,1,1693.88,2,1,4,214,7,Regular
12765,473,6,1299.58,1,4,4,144,9,Loyal/Valuable
12766,4,9,9116.28,5,5,5,555,15,Best Customers
12767,376,1,949.82,2,1,3,213,6,Regular
12768,451,1,168.69,1,1,1,111,3,At Risk / Lost
12769,239,1,1143.6,2,1,3,213,6,Regular
12770,211,2,3246.45,2,2,5,225,9,Loyal/Valuable
12771,486,1,226.3,1,1,1,111,3,At Risk / Lost
12772,60,1,752.47,3,1,3,313,7,Regular
12773,565,1,124.25,1,1,1,111,3,At Risk / Lost
12774,536,1,83.7,1,1,1,111,3,At Risk / Lost
12775,18,7,1534.17,5,4,4,544,13,Best Customers
12776,668,1,27.5,1,1,1,111,3,At Risk / Lost
12777,458,1,502.5,1,1,2,112,4,At Risk / Lost
12778,20,9,1541.68,5,5,4,554,14,Best Customers
12779,38,14,6722.27,4,5,5,455,14,Best Customers
12780,599,1,322.4,1,1,2,112,4,At Risk / Lost
12781,64,2,786.74,3,2,3,323,8,Regular
12782,5,11,3845.29,5,5,5,555,15,Best Customers
12783,3,4,1295.87,5,3,4,534,12,Best Customers
12784,16,2,1552.75,5,2,4,524,11,Loyal/Valuable
12785,365,3,857.5,2,3,3,233,8,Regular
12786,610,1,668.5,1,1,3,113,5,At Risk / Lost
12787,10,4,799.18,5,3,3,533,11,Loyal/Valuable
12788,464,4,384.9,1,3,2,132,6,Regular
12789,513,2,148.5,1,2,1,121,4,At Risk / Lost
12790,193,2,512.95,2,2,2,222,6,Regular
12791,374,5,834.43,2,4,3,243,9,Loyal/Valuable
12792,257,2,715.01,2,2,3,223,7,Regular
12793,335,3,849.33,2,3,3,233,8,Regular
12794,54,2,860.41,4,2,3,423,9,Loyal/Valuable
12795,19,1,318.48,5,1,2,512,8,Regular
12796,629,1,351.0,1,1,2,112,4,At Risk / Lost
12797,366,2,694.11,2,2,3,223,7,Regular
12798,11,4,8510.93,5,3,5,535,13,Best Customers
12799,530,1,202.4,1,1,1,111,3,At Risk / Lost
12800,471,2,500.25,1,2,2,122,5,At Risk / Lost
12801,501,1,791.92,1,1,3,113,5,At Risk / Lost
12802,187,7,2206.42,3,4,4,344,11,Loyal/Valuable
12803,394,1,1017.81,2,1,3,213,6,Regular
12804,466,2,327.02,1,2,2,122,5,At Risk / Lost
12805,382,4,1230.95,2,3,4,234,9,Loyal/Valuable
12806,573,2,2558.96,1,2,4,124,7,Regular
12807,384,1,233.4,2,1,1,211,4,At Risk / Lost
12808,37,5,850.1,4,4,3,443,11,Loyal/Valuable
12809,178,3,1384.34,3,3,4,334,10,Loyal/Valuable
12810,535,2,534.99,1,2,2,122,5,At Risk / Lost
12811,262,4,894.9,2,3,3,233,8,Regular
12812,45,1,229.64,4,1,1,411,6,Regular
12813,502,3,1624.8,1,3,4,134,8,Regular
12814,102,1,85.92,3,1,1,311,5,At Risk / Lost
12815,148,2,863.46,3,2,3,323,8,Regular
12816,96,2,395.3,3,2,2,322,7,Regular
12817,282,3,570.98,2,3,2,232,7,Regular
12818,262,1,1182.08,2,1,3,213,6,Regular
12819,459,1,540.52,1,1,2,112,4,At Risk / Lost
12820,4,11,2689.52,5,5,4,554,14,Best Customers
12821,215,2,220.8,2,2,1,221,5,At Risk / Lost
12822,71,2,948.88,3,2,3,323,8,Regular
12823,75,18,6501.5,3,5,5,355,13,Best Customers
12824,60,1,397.12,3,1,2,312,6,Regular
12825,522,2,420.93,1,2,2,122,5,At Risk / Lost
12826,3,12,2955.75,5,5,5,555,15,Best Customers
12827,6,3,430.15,5,3,2,532,10,Loyal/Valuable
12828,3,6,1001.76,5,4,3,543,12,Best Customers
12829,337,3,224.6,2,3,1,231,6,Regular
12830,38,6,6814.64,4,4,5,445,13,Best Customers
12831,263,3,451.11,2,3,2,232,7,Regular
12832,33,2,383.03,4,2,2,422,8,Regular
12833,146,1,417.38,3,1,2,312,6,Regular
12834,283,1,312.38,2,1,2,212,5,At Risk / Lost
12835,428,41,6043.31,1,5,5,155,11,Loyal/Valuable
12836,60,15,6204.62,3,5,5,355,13,Best Customers
12837,174,2,631.56,3,2,3,323,8,Regular
12838,34,10,3364.58,4,5,5,455,14,Best Customers
12839,3,26,9991.83,5,5,5,555,15,Best Customers
12840,144,7,4041.97,3,4,5,345,12,Best Customers
12841,5,40,7455.93,5,5,5,555,15,Best Customers
